Lambda	        A	     B	     C	    D	     E	      F	      G	     H	      I	      J
4040.72137	0.50027	1.04843	1.64847	0.97405	2.7715	0.57399	2.20801	3.83458	1.88269	0.26446
4038.79263	0.49585	1.04089	1.64252	0.97274	2.76626	0.57565	2.20497	3.82248	1.87866	0.26742
4036.86388	0.48679	1.03114	1.6293	0.97118	2.75818	0.5795	2.20046	3.79775	1.86665	0.26929
4034.93514	0.48115	1.02873	1.62254	0.97079	2.76062	0.58237	2.20303	3.79018	1.86055	0.26766
4033.00639	0.48524	1.03433	1.62662	0.97042	2.76796	0.58088	2.2097	3.80064	1.86484	0.26377
4031.07764	0.49168	1.03868	1.62869	0.96705	2.76007	0.57637	2.20483	3.79661	1.86385	0.26301
4029.1489	0.4907	1.04043	1.62773	0.96451	2.74728	0.57271	2.19538	3.78248	1.85803	0.26254
4027.22015	0.48862	1.04417	1.63487	0.96731	2.75163	0.57205	2.19855	3.78459	1.86205	0.25988
4025.29141	0.4913	1.04921	1.6471	0.97246	2.76661	0.57449	2.20854	3.80214	1.87437	0.25857
4023.36266	0.49451	1.05438	1.6558	0.97854	2.78119	0.57729	2.2173	3.82616	1.886	0.25745
